ANP,Location,Site code,Sensor,Manufacturer,Model,Installation date,Installation status,Latitude,Longitude,,,,
RBRL,Río Lagartos,RBRL-RL-01,Weather station,Davis Instrument,Vantage Pro2,1/10/2024,Installed,21.61120301,-88.15037262,,,,
RBRL,Río Lagartos,RBRL-RL-01,Soil sample,,,,Upcoming,21.61120301,-88.15037262,,,,
RBRL,Río Lagartos,RBRL-RL-01,Forest survey,,,,Upcoming,21.61120301,-88.15037262,,,,
RBRL,Río Lagartos,RBRL-RL-01,Dron Lidar,,,,Upcoming,21.61120301,-88.15037262,,,,
RBRL,Río Lagartos,RBRL-RL-02,Weather station,Davis Instrument,Vantage Pro2,12/19/2024,Installed,21.590279,-88.147969,,,,
RBRL,Río Lagartos,RBRL-RL-02,Terrestrial camera,Reconyx,Hyperfire 2,12/19/2024,Installed,21.589817,-88.147883,,,,
RBRL,Río Lagartos,RBRL-RL-02,Soil sample,,,,Upcoming,21.59027949,-88.14796948,,,,
RBRL,Río Lagartos,RBRL-RL-02,Forest survey,,,,Upcoming,21.59027949,-88.14796948,,,,
RBRL,Río Lagartos,RBRL-RL-02,Dron Lidar,,,05/28/2025,Executed,21.59027949,-88.14796948,,,,
RBRL,Río Lagartos,RBRL-RL-03,Weather station,Ambient Weather,WS2902,12/8/2024,Installed,21.599367,-88.157968,,,,
RBRL,Río Lagartos,RBRL-RL-03,Weather station,Ambient Weather,WS2902,12/8/2024,Installed,21.596404,-88.160248,,,,
RBRL,Río Lagartos,RBRL-RL-03,Weather station,Ambient Weather,WS2902,12/8/2024,Installed,21.595608,-88.158363,,,,
RBRL,Río Lagartos,RBRL-RL-04,Underwater datalogger,Van Essen Instruments,CTD-Diver,02/21/2025,Installed,21.59773,-88.143125,,,,
RBRL,Río Lagartos,RBRL-RL-04,Soil sample,,,,Upcoming,21.59774496,-88.14309844,,,,
RBRL,Río Lagartos,RBRL-RL-04,Forest survey,,,,Upcoming,21.59774496,-88.14309844,,,,
RBRL,Río Lagartos,RBRL-RL-04,Dron Lidar,,,05/28/2025,Executed,21.59774496,-88.14309844,,,,
RBRL,Río Lagartos,RBRL-RL-05,Current profiler,Nortek,Eco,05/31/2025,Installed,21.59962535,-88.15861524,,,,
RBRL,Río Lagartos,RBRL-RL-05,Underwater datalogger,Van Essen Instruments,CTD-Diver,05/31/2025,Installed,21.59962535,-88.15861524,,,,
RBRL,Río Lagartos,RBRL-RL-08,Underwater datalogger,Van Essen Instruments,CTD-Diver,02/21/2025,Installed,21.592628,-88.144147,,,,
RBRL,Río Lagartos,RBRL-RL-08,Soil sample,,,,,21.5926424,-88.14415351,,,,
RBRL,Río Lagartos,RBRL-RL-08,Forest survey,,,,,21.5926424,-88.14415351,,,,
RBRL,Río Lagartos,RBRL-RL-08,Dron Lidar,,,05/28/2025,Executed,21.5926424,-88.14415351,,,,
RBRL,Río Lagartos,RBRL-RL-09,Underwater datalogger,Van Essen Instruments,CTD-Diver,02/19/2025,Relocated,21.59673,-88.145661,,,,
RBRL,San Felipe,RBRL-KBN-01,Underwater datalogger,Van Essen Instruments,CTD-Diver,02/19/2025,Installed,21.570071,-88.210656,,,,
RBRL,San Felipe,RBRL-KBN-01,Weather station,Davis Instrument,Vantage Pro2,08/20/2024,Installed,21.57005,-88.210588,,,,
RBRL,San Felipe,RBRL-KBN-01,Terrestrial camera,Browning,BTC-6PX-1080,08/20/2024,Installed,21.5700387,-88.2105201,,,,
RBRL,San Felipe,RBRL-KBN-01,Soil sample,,,,Upcoming,21.57004267,-88.21053764,,,,
RBRL,San Felipe,RBRL-KBN-01,Forest survey,,,,Upcoming,21.57004267,-88.21053764,,,,
RBRL,San Felipe,RBRL-KBN-01,Dron Lidar,,,05/26/2025,Executed,21.57004267,-88.21053764,,,,
RBRL,San Felipe,RBRL-SF-01,Weather station,Davis Instrument,Vantage Pro2,1/10/2024,Installed,21.567125,-88.21504,,,,
RBRL,San Felipe,RBRL-SF-01,Soil sample,,,,Upcoming,21.56712885,-88.21504083,,,,
